,beds,baths,price,size_numeric,price_per_sqft,bed_bath_ratio,is_apartment,is_villa,is_land
beds,1.0,0.7111144230663067,0.31005141248160945,-0.11818796293951607,0.057902744280487514,0.21648937471762075,0.26671230854690464,0.4889031448579132,-0.7644531241230047
baths,0.7111144230663067,1.0,0.23921513888707852,-0.09551043926273158,-0.07164803190522268,-0.4302095312419331,0.0929391267036613,0.40806244978944156,-0.5565128295901984
price,0.31005141248160945,0.23921513888707852,1.0,0.15987326689272885,0.11620447039894741,0.11104643230270315,0.004616568331442557,0.06812086782011195,-0.1355340480373254
size_numeric,-0.11818796293951607,-0.09551043926273158,0.15987326689272885,1.0,-0.010744876930199482,-0.03523406112472698,-0.10315387220238584,-0.04669019104878385,0.022920462096195127
price_per_sqft,0.057902744280487514,-0.07164803190522268,0.11620447039894741,-0.010744876930199482,1.0,0.239195607514859,-0.07152827146223739,0.12625987948933565,-0.023164998032701774
bed_bath_ratio,0.21648937471762075,-0.4302095312419331,0.11104643230270315,-0.03523406112472698,0.239195607514859,1.0,0.28586844584622,-0.009040751722235367,-0.24441329546962365
is_apartment,0.26671230854690464,0.0929391267036613,0.004616568331442557,-0.10315387220238584,-0.07152827146223739,0.28586844584622,1.0,-0.48539041743699507,-0.6137424445521719
is_villa,0.4889031448579132,0.40806244978944156,0.06812086782011195,-0.04669019104878385,0.12625987948933565,-0.009040751722235367,-0.48539041743699507,1.0,-0.23860969179580385
is_land,-0.7644531241230047,-0.5565128295901984,-0.1355340480373254,0.022920462096195127,-0.023164998032701774,-0.24441329546962365,-0.6137424445521719,-0.23860969179580385,1.0
