,Count,Mean,Median,Mode,Std Dev,Variance,Min,Max,Range,Q1 (25%),Q3 (75%),IQR,Skewness,Kurtosis
beds,287.0,2.1184668989547037,2.0,3.0,1.6095998345542266,2.590811627396994,0.0,7.5,7.5,0.0,3.0,3.0,0.4532889440794172,0.5096473182521839
baths,287.0,1.4668989547038327,1.0,0.0,1.5705278833600793,2.4665578324114907,0.0,5.0,5.0,0.0,2.0,2.0,0.7094987052840962,-0.5234389778616433
price,287.0,14441961.38554007,10000000.0,45018000.0,13445650.701605473,180785522789583.72,0.0,45018000.0,45018000.0,4738000.0,20850000.0,16112000.0,1.062541006877161,0.05613051374146494
size_numeric,237.0,6916.37552742616,1503.0,1200.0,49158.29648883952,2416538113.6846523,0.0,740520.0,740520.0,1000.0,2655.0,1655.0,14.182521748991205,208.16760021379716
price_per_sqft,237.0,200000009133.51865,5468.749991455078,0.0,2629944897868.1357,6.91661016582264e+24,0.0,39800000000000.0,39800000000000.0,3111.111109041177,9933.774826213761,6822.663717172584,14.590274746184134,216.00186254125455
bed_bath_ratio,287.0,501742.7961088737,0.99999950000025,0.0,1093126.8837235842,1194926383919.2346,0.0,5000000.0,5000000.0,0.0,1.499999250000375,1.499999250000375,1.9664574953763887,2.582660866103942
is_apartment,287.0,0.5156794425087108,1.0,1.0,0.5006270281947716,0.25062742135912863,0.0,1.0,1.0,0.0,1.0,1.0,-0.06274863048735074,-1.9960626093719618
is_villa,287.0,0.18118466898954705,0.0,0.0,0.38584389943236536,0.14887551472917326,0.0,1.0,1.0,0.0,0.0,0.0,1.6554477838263124,0.7405073649754512
is_land,287.0,0.2613240418118467,0.0,0.0,0.44012353980910424,0.19370873029409616,0.0,1.0,1.0,0.0,1.0,1.0,1.086480672433857,-0.8195597484276744
